,Low,High,Open,Close,Volume
2017-01-01 00:00:00+00:00,4.34,4.57,4.37,4.43,2429.0928706899995
2017-01-02 00:00:00+00:00,4.4,4.85,4.47,4.62,3847.0938107799975
2017-01-03 00:00:00+00:00,4.42,4.65,4.56,4.54,1171.7151169699996
2017-01-04 00:00:00+00:00,4.45,4.89,4.54,4.62,4718.391732050007
2017-01-05 00:00:00+00:00,3.9,4.88,4.88,4.24,3472.4598678800007
2017-01-06 00:00:00+00:00,3.83,4.3,4.24,3.87,1237.6200311799992
2017-01-07 00:00:00+00:00,3.68,4.04,3.89,3.99,945.6142820800005
2017-01-08 00:00:00+00:00,3.99,4.15,3.99,4.03,206.52804614000007
2017-01-09 00:00:00+00:00,3.93,4.4,4.03,4.39,997.4667923300001
2017-01-10 00:00:00+00:00,4.18,4.75,4.29,4.67,1274.1008893800006
2017-01-11 00:00:00+00:00,3.95,4.67,4.59,4.02,1512.924764
2017-01-12 00:00:00+00:00,3.8,4.14,4.0,4.06,1893.4823255299978
2017-01-13 00:00:00+00:00,3.9,4.05,4.03,3.96,522.7712608500002
2017-01-14 00:00:00+00:00,3.92,4.24,3.97,4.01,529.1299848299999
2017-01-15 00:00:00+00:00,3.95,4.01,4.01,3.97,418.12505284000014
2017-01-16 00:00:00+00:00,3.88,3.98,3.97,3.88,216.11973219
2017-01-17 00:00:00+00:00,3.87,4.02,3.88,3.95,514.9439274099992
2017-01-18 00:00:00+00:00,3.81,3.95,3.95,3.88,1169.69158532
2017-01-19 00:00:00+00:00,3.83,3.95,3.88,3.89,1394.4019962599996
2017-01-20 00:00:00+00:00,3.87,3.95,3.9,3.88,367.0988549800001
2017-01-21 00:00:00+00:00,3.89,3.93,3.89,3.92,179.76780186999997
2017-01-22 00:00:00+00:00,3.85,3.94,3.92,3.86,873.0280469999997
2017-01-23 00:00:00+00:00,3.83,3.89,3.88,3.83,882.3433536900002
2017-01-24 00:00:00+00:00,3.74,3.85,3.82,3.74,2149.45997529
2017-01-25 00:00:00+00:00,3.65,3.81,3.72,3.69,1915.9832931400006
2017-01-26 00:00:00+00:00,3.68,3.93,3.69,3.85,2045.1038835799993
2017-01-27 00:00:00+00:00,3.79,3.95,3.85,3.9,2946.998940069998
2017-01-28 00:00:00+00:00,3.85,3.9,3.89,3.88,334.3286740000001
2017-01-29 00:00:00+00:00,3.85,3.9,3.89,3.88,322.1307059999999
2017-01-30 00:00:00+00:00,3.85,4.09,3.88,4.08,3579.3334614100013
2017-01-31 00:00:00+00:00,4.03,4.18,4.09,4.09,5154.866085379999
2017-02-01 00:00:00+00:00,4.01,4.12,4.08,4.08,1492.4182859299985
2017-02-02 00:00:00+00:00,3.97,4.11,4.07,4.1,2219.1234605100003
